0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A,N/A
1993,Used,Volvo,940,N/A,Wagon,N/A,3,280000,N/A,N/A,2000,false,None,"Up for sale is my ‘93 volvo wagon. Had it for just over 3 years and have replaced a few things on it. new parking brake shoes New parking brake cable New blower motor.. blows alot of heat New muffler Comes with an extra set of volvo rims on summer tires Oil change done last july Heated seats Heated mirrors Heated rear window Working gauges Third row rear facing seat New A/C unit New fuel pump (only 1 fuel pump on these models, which are in the tank) New rear tailgate struts Front strut assemby swapped from a 1994 740 turbo Price is $2000 or best offer.",https://www.kijiji.ca/v-cars-trucks/strathcona-county/1993-volvo-940/1432552391
2000,Used,Ford,Taurus,SE,Wagon,Burgundy,6,197000,Automatic,Gasoline,200,false,"Includes: Alloy wheels, Trailer hitch","The car was last ran a couple of years ago. The car is complete except for battery, CV boot is damaged on drivers side. Last time i tried to start it it did turn over fine but didn't run - this might be because the gas is old or because the serpentine belt is off. Less than 200 000km on it. Interior is in really good condition. Please contact me if you would like any parts and what price you think would be fair. Whole car $200. Tires would need inflated to tow - putting it on a trailer would be best. It will go for scrap at the end of May. Please contact if you have any questions.",https://www.kijiji.ca/v-cars-trucks/strathcona-county/2000-taurus-wagon-parts-car/1430307965
1995,Used,Chevrolet,Lumina,N/A,Wagon,White,6,250000,Automatic,Gasoline,900,false,"Includes: Parking assistant, Air conditioning","1995 Chevy lumina ,,,nice little car ,good on gas",https://www.kijiji.ca/v-cars-trucks/edmonton/1995-lumina-chevy/1432422253
2006,Used,Subaru,Forester,N/A,Wagon,Green,0,279363,Manual,Gasoline,2000,false,Includes: Air conditioning,"Engine failed. Does not run. 5 spd manuel transmission, all wheel drive. Ran and drove great before it didn’t. Motor was quiet. Asking 2000$ O.B.O Added tinted windows and coil over suspension, custom exhaust and roof rack rails",https://www.kijiji.ca/v-cars-trucks/edmonton/subaru-forester-lowered/1428454503
2003,Used,Subaru,Outback,3.0 H6,Wagon,Other,5,224428,Automatic,Gasoline,3000,false,None,"time to put my outback up for sale. so the story with this car is i was importing a rhd from japan and needed something reliable to get me by until my car came in. my buddy who is very meticulous with cars had this up for sale at just the right time so i scooped it up. my car came in this month so now it's time to sell this beauty it's had all the required maintenance done by the previous owner and myself since i've owned it. it's always had shell 91 in it and top grade oil (mobil1 5W30). only ever taken me to work and back and to banff a few times over the winter. strong engine, no leaks, bitchin front bumper and a summer/winter warrior roof rack that will come with the car. if you're interested please text 7803992362. please understand i work an evening shift so i won't be able to schedule viewings in the evenings on monday-thursday but i can meet in the mornings and weekends.",https://www.kijiji.ca/v-cars-trucks/edmonton/2003-motorized-hammock/1428748122
2007,Used,Mazda,5,GS For Sale Edmonton,Wagon,Black,0,175904,Automatic,Gasoline,3999,true,None,"This vehicles full disclosure for example accidents, vehicle usage, are available with the Carfax Report provided. ***AMVIC Licensed Business Engine: 4 cylinder 2.3L Optional Equipment Intermittent Wipers Variable Speed Intermittent Wipers Driver Vanity Mirror Brake Assist Cloth Seats Power Windows Front Wheel Drive Pass-Through Rear Seat Tires - Front Performance Rear Bucket Seats Rain Sensing Wipers Steering Wheel Audio Controls Passenger Vanity Mirror Power Mirror(s) 4-Wheel Disc Brakes Power Door Locks Tires - Rear Performance Engine Immobilizer Passenger Air Bag CD Player Rear Defrost Automatic Headlights Driver Air Bag ABS Power Steering AM/FM Stereo Child Safety Locks Floor Mats Temporary Spare Tire Aluminum Wheels Driver Adjustable Lumbar Keyless Entry 3rd Row Seat Adjustable Steering Wheel Front Reading Lamps KIT REF ID: 10615041",https://www.kijiji.ca/v-cars-trucks/edmonton/2007-mazda-mazda-5-gs-for-sale-edmonton/1346713544
2004,Used,Volvo,XC90,2.5T For Sale Edmonton,Wagon,Black,0,324820,Automatic,Gasoline,3999,true,None,"This vehicles full disclosure for example accidents, vehicle usage, are available with the Carfax Report provided. ***AMVIC Licensed Business Engine: 5 cylinder 2.5L Optional Equipment Rear Head Air Bag A/C All Wheel Drive Power Driver Seat Steering Wheel Audio Controls Passenger Vanity Mirror Brake Assist Pass-Through Rear Seat Cloth Seats Intermittent Wipers Variable Speed Intermittent Wipers Driver Illuminated Vanity Mirror Leather Steering Wheel Stability Control Climate Control Tires - Rear All-Season Seat Memory Premium Synthetic Seats Front Head Air Bag Multi-Zone A/C Power Windows Driver Vanity Mirror Passenger Illuminated Visor Mirror Cruise Control ABS Fog Lamps Engine Immobilizer Driver Air Bag CD Player Rear Defrost Automatic Headlights Passenger Air Bag Locking/Limited Slip Differential Power Steering Traction Control Trip Computer Security System Turbocharged Power Door Locks Mirror Memory Rear Reading Lamps Passenger Adjustable Lumbar Rear Bench Seat 4-Wheel Disc Brakes Heated Front Seat(s) Power Mirror(s) Tires - Front All-Season Cargo Shade Front Side Air Bag Adjustable Steering Wheel Child Safety Locks Floor Mats Heated Mirrors Aluminum Wheels AM/FM Stereo Bucket Seats Rear Seat Audio Controls Power Outlet Keyless Entry Front Reading Lamps Driver Adjustable Lumbar KIT REF ID: 11463588",https://www.kijiji.ca/v-cars-trucks/edmonton/2004-volvo-xc90-2-5t-for-sale-edmonton/1361867816
2008,Used,Dodge,Magnum,Sxt,Wagon,Black,5,157000,Automatic,N/A,4000,false,None,2008 dodge magnum with viper remote starter has 157km no leaks tire light on because of tire sensor and has a bad o2 sensor looking for 4000 or obo text 7808031605,https://www.kijiji.ca/v-cars-trucks/edmonton/2008-dodge-magnum/1430168736
2004,Used,Audi,A6,N/A,Wagon,Silver,5,200000,Automatic,Gasoline,3000,false,None,Selling our audi a6 car is fully loaded all options on the car 140 000 m 4 brand new tires no rust on the car. $3000 will send recent pics to serious buyers. Also has hitch and new battery and coil in last 4 months. Car is a 3.0 liter v6,https://www.kijiji.ca/v-cars-trucks/edmonton/2004-audi-a6-quattro/1427911998
2005,Used,Mazda,6,N/A,Wagon,Grey,5,284000,Automatic,Gasoline,2400,false,"Includes: Cruise control, Air conditioning","Active, no accident, good condition, kit of winter tires",https://www.kijiji.ca/v-cars-trucks/edmonton/mazda-6-for-sale/1424194027
