2006,Used,Chevrolet,Impala,LT,Sedan,Grey,0,244045,Automatic,Gasoline,51,true,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2006-chevrolet-impala-lt-bad-credit-only-51-short-term/1415446834
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,false,None,N/A
2006,Used,Chevrolet,Malibu,N/A,Sedan,Black,0,338521,Automatic,N/A,2000,false,"Includes: Sunroof, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2006-chevy-malibu-maxx/1429630022
2002,Used,Infiniti,QX4,N/A,"SUV, Crossover",N/A,0,250,Automatic,N/A,1800,false,Includes: Sunroof,https://www.kijiji.ca/v-cars-trucks/edmonton/2002-infinity-qx4/1429626979
2002,Used,Toyota,Highlander,N/A,"SUV, Crossover",Silver,0,196252,Automatic,Gasoline,2950,false,"Includes: Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-toyota-highlander/1429626999
2003,Used,Dodge,Caravan,N/A,"Minivan, Van",Red,0,230000,Automatic,N/A,2200,false,"Includes: Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/dodge-caravan/1429641273
