2004,Used,Dodge,Dakota,N/A,Pickup Truck,Grey,5,147000,Automatic,Gasoline,2800,false,None,Hey got a nice truck it's a 2004 dodge Dakota it's got the 3.7l V6 runs and drives good power locks mirrors and windows has brand new water pump and belt couple weeks old lots of power runs great! Text for fastest response Ryan - 780 680 6911,https://www.kijiji.ca/v-cars-trucks/edmonton/2004-dodge-dakota-2-wheel-drive/1430887829
2008,Used,Jeep,Compass,North Trail Edition,Hatchback,Silver,5,225000,Automatic,Gasoline,3800,false,"Includes: Cruise control, Air conditioning",Call or text 780.446.7322 for further information.,https://www.kijiji.ca/v-cars-trucks/edmonton/2008-jeep-compass-north-trail-edition-3800/1430886920
2002,Used,Pontiac,Sunfire,N/A,Coupe (2 door),N/A,0,144,Automatic,N/A,1800,false,None,"Hi I'm selling my 2002 pontiac sunfire GT LOADED ! Only 144 km. Runs and drives good. Sunroof power windows. Nice sport car. Installed studded winter tiers basically brand new this last winter. Comes with a set of summer rubbers with rims already mounted. Suspension is tight, ac and heat work great. 35 to 40 dollars full tank. Great for first time driver or student. Having baby soon need to upgrade. Contact me anytime at 587 501 1366 for quick response. 1800 OBO",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-pontiac-gt-only-144km-1800-obo/1430893111
2007,Used,Dodge,Power Ram 1500,N/A,Pickup Truck,White,6,353000,Automatic,Gasoline,2000,false,"Includes: Cruise control, Trailer hitch, Air conditioning","2007 Dodge Ram 1500 4.7L, auto, 4x4, 4 door. Tires are decent truck has 353000km asking $2000 obo will consider trades.",https://www.kijiji.ca/v-cars-trucks/edmonton/2007-dodge-ram-1500/1421529241
2006,Used,Ford,Escape,XLS,"SUV, Crossover",Orange,5,220734,Automatic,Gasoline,1900,false,"Includes: Alloy wheels, Bluetooth, Cruise control, Air conditioning",This 2006 escape has the fuel efficient 4 cylinder engine. It’s starts and drives. She’s not pretty but is a reliable vehicle. Need some TLC but is priced to sell quick! It’s Alberta registered and has active title,https://www.kijiji.ca/v-cars-trucks/edmonton/2006-ford-escape/1430658122
2002,Used,Jeep,Grand Cherokee,Laredo,"SUV, Crossover",Silver,0,191923,Automatic,Gasoline,3650,false,None,"Grand Cherokee for sale. Is packing the 4.7 v8 lots of fun to drive. Leather interior with heated seats. Has 4 drive options 2wd, 4 part time, 4 all time, 4 low. Has engine light, coder says it's a vacuum leak, easy fix. There is a few other little things as well, the passenger mirror is taped in place. A replacement is 35 bucks or so. Front drivers side mudflap is missing a piece but I have that on a parts jeep. Thwre is also a rip in the drivers seat. There is some rust over the front wheel wells as shown in the pictures. Could use a good interior clean. Overall a good machine. Asking 3650 obo. An extra 300 takes the parts jeep as well. Pls contact via text.",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-jeep-grand-cherokee-4-7-v8/1430739276
2000,Used,Chrysler,Intrepid,N/A,Sedan,White,5,222500,Automatic,Gasoline,1500,false,Includes: Cruise control,"2000 Chrysler Intrepid for sale Only $1500 OBO, Fresh oil change done on April 29th 2019. Car has been winter and summer driven. 222500 km total Michelin all season tires Handles fine with winter driving Comes with extra key Decent stock audio system Easy driving car and handles well. Makes for a great first car. Small rust, and scratches on body, nothing major.",https://www.kijiji.ca/v-cars-trucks/edmonton/2000-chrysler-intrepid-for-sale/1430716468
2004,Used,Chrysler,Sebring,N/A,Sedan,Beige,5,190000,Automatic,N/A,1900,false,Includes: Air conditioning,Excellent condition car. This car drives perfectly. No mechanical issues. .Come test drive it!,https://www.kijiji.ca/v-cars-trucks/edmonton/chrysler-sebring-2004/1430528564
2002,Used,Chevrolet,Other,N/A,"Minivan, Van",Off-White,0,222963,Automatic,Gasoline,2200,false,None,Good conditions 222963 Km automatic transmission Two seats very clean new starter Ph 7803406585,https://www.kijiji.ca/v-cars-trucks/edmonton/2002-chevrolet-astro-cargo-van/1430619192
2007,Used,Ford,Focus,s,Hatchback,Black,5,170104,Manual,Gasoline,2850,false,Includes: Bluetooth,"2007 Ford Focus S in great condition, has no problems and is mechanically sound. Recently changed the oil, oil filter, spark plugs, fuel filter, and the valve cover gasket. The car has summer tires, and comes a set of winters as well. 5 speed manual The only thing wrong is a few scuffs on the driver side door from previous owner along with a rip on the driver seat as well. Reason for selling is because I bought a new car.",https://www.kijiji.ca/v-cars-trucks/edmonton/2007-ford-focus-s/1430394865
